Note: if coloring is not SAT, the vertex coloring will be same as after graph generation (=mc)
Neighborhood Graph with initial coloring:

mc: 1, nc: 2 , vertex_ausgabefaerbung:2
mc: 1, nc: 3 , vertex_ausgabefaerbung:2
mc: 1, nc: 4 , vertex_ausgabefaerbung:1
mc: 1, nc: 5 , vertex_ausgabefaerbung:2
mc: 1, nc: 6 , vertex_ausgabefaerbung:2
mc: 1, nc: 7 , vertex_ausgabefaerbung:2
mc: 1, nc: 8 , vertex_ausgabefaerbung:4
mc: 1, nc: 9 , vertex_ausgabefaerbung:5
mc: 1, nc: 10 , vertex_ausgabefaerbung:2
mc: 2, nc: 1 , vertex_ausgabefaerbung:5
mc: 2, nc: 3 , vertex_ausgabefaerbung:4
mc: 2, nc: 4 , vertex_ausgabefaerbung:1
mc: 2, nc: 5 , vertex_ausgabefaerbung:1
mc: 2, nc: 6 , vertex_ausgabefaerbung:5
mc: 2, nc: 7 , vertex_ausgabefaerbung:2
mc: 2, nc: 8 , vertex_ausgabefaerbung:5
mc: 2, nc: 9 , vertex_ausgabefaerbung:5
mc: 2, nc: 10 , vertex_ausgabefaerbung:5
mc: 3, nc: 1 , vertex_ausgabefaerbung:3
mc: 3, nc: 2 , vertex_ausgabefaerbung:2
mc: 3, nc: 4 , vertex_ausgabefaerbung:2
mc: 3, nc: 5 , vertex_ausgabefaerbung:5
mc: 3, nc: 6 , vertex_ausgabefaerbung:3
mc: 3, nc: 7 , vertex_ausgabefaerbung:2
mc: 3, nc: 8 , vertex_ausgabefaerbung:3
mc: 3, nc: 9 , vertex_ausgabefaerbung:5
mc: 3, nc: 10 , vertex_ausgabefaerbung:6
mc: 4, nc: 1 , vertex_ausgabefaerbung:3
mc: 4, nc: 2 , vertex_ausgabefaerbung:3
mc: 4, nc: 3 , vertex_ausgabefaerbung:4
mc: 4, nc: 5 , vertex_ausgabefaerbung:4
mc: 4, nc: 6 , vertex_ausgabefaerbung:4
mc: 4, nc: 7 , vertex_ausgabefaerbung:2
mc: 4, nc: 8 , vertex_ausgabefaerbung:4
mc: 4, nc: 9 , vertex_ausgabefaerbung:4
mc: 4, nc: 10 , vertex_ausgabefaerbung:4
mc: 5, nc: 1 , vertex_ausgabefaerbung:3
mc: 5, nc: 2 , vertex_ausgabefaerbung:2
mc: 5, nc: 3 , vertex_ausgabefaerbung:2
mc: 5, nc: 4 , vertex_ausgabefaerbung:5
mc: 5, nc: 6 , vertex_ausgabefaerbung:2
mc: 5, nc: 7 , vertex_ausgabefaerbung:2
mc: 5, nc: 8 , vertex_ausgabefaerbung:2
mc: 5, nc: 9 , vertex_ausgabefaerbung:2
mc: 5, nc: 10 , vertex_ausgabefaerbung:2
mc: 6, nc: 1 , vertex_ausgabefaerbung:3
mc: 6, nc: 2 , vertex_ausgabefaerbung:2
mc: 6, nc: 3 , vertex_ausgabefaerbung:6
mc: 6, nc: 4 , vertex_ausgabefaerbung:5
mc: 6, nc: 5 , vertex_ausgabefaerbung:4
mc: 6, nc: 7 , vertex_ausgabefaerbung:2
mc: 6, nc: 8 , vertex_ausgabefaerbung:2
mc: 6, nc: 9 , vertex_ausgabefaerbung:4
mc: 6, nc: 10 , vertex_ausgabefaerbung:2
mc: 7, nc: 1 , vertex_ausgabefaerbung:3
mc: 7, nc: 2 , vertex_ausgabefaerbung:3
mc: 7, nc: 3 , vertex_ausgabefaerbung:3
mc: 7, nc: 4 , vertex_ausgabefaerbung:5
mc: 7, nc: 5 , vertex_ausgabefaerbung:3
mc: 7, nc: 6 , vertex_ausgabefaerbung:3
mc: 7, nc: 8 , vertex_ausgabefaerbung:4
mc: 7, nc: 9 , vertex_ausgabefaerbung:3
mc: 7, nc: 10 , vertex_ausgabefaerbung:3
mc: 8, nc: 1 , vertex_ausgabefaerbung:3
mc: 8, nc: 2 , vertex_ausgabefaerbung:2
mc: 8, nc: 3 , vertex_ausgabefaerbung:2
mc: 8, nc: 4 , vertex_ausgabefaerbung:1
mc: 8, nc: 5 , vertex_ausgabefaerbung:4
mc: 8, nc: 6 , vertex_ausgabefaerbung:6
mc: 8, nc: 7 , vertex_ausgabefaerbung:6
mc: 8, nc: 9 , vertex_ausgabefaerbung:5
mc: 8, nc: 10 , vertex_ausgabefaerbung:6
mc: 9, nc: 1 , vertex_ausgabefaerbung:1
